epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8109,1.61073,3.84069,1.56,0.00073,0.15517,0.00136,0.00047,2.45708,4.25089,2.37314,0.088012,1.2e-05,1.2e-05
2,33.204,1.42465,3.33476,1.45351,0.00551,0.24734,0.00505,0.0019,2.16655,4.07712,2.14247,0.0750248,2.47525e-05,2.47525e-05
3,47.0867,1.50725,3.12954,1.39806,0.00167,0.15148,0.00536,0.00296,1.62923,3.8526,1.70586,0.0620372,3.72476e-05,3.72476e-05
4,61.908,1.44656,3.04855,1.41844,0.06905,0.46034,0.09823,0.06479,1.43886,3.69742,1.56773,0.0490495,4.94853e-05,4.94853e-05
5,75.2839,1.35461,2.9933,1.363,0.02177,0.71567,0.12492,0.07843,1.41443,3.59818,1.54699,0.0360615,6.14656e-05,6.14656e-05
6,89.1728,1.48907,2.78419,1.44709,0.01931,0.75518,0.1282,0.07852,1.41937,3.53487,1.54184,0.0230732,7.31885e-05,7.31885e-05
7,103.922,1.44139,2.93452,1.38523,0.01842,0.76553,0.13967,0.08841,1.42625,3.4393,1.53353,0.0100847,8.4654e-05,8.4654e-05
8,119.351,1.47833,2.94829,1.38255,0.01874,0.77294,0.14931,0.09486,1.4351,3.39681,1.53586,9.307e-05,9.307e-05,9.307e-05
9,133.892,1.4293,2.63608,1.35064,0.64017,0.17412,0.16735,0.10628,1.45786,3.29288,1.53704,9.208e-05,9.208e-05,9.208e-05
10,147.617,1.36699,2.53162,1.35243,0.61831,0.17747,0.17225,0.11097,1.45544,3.26266,1.53149,9.109e-05,9.109e-05,9.109e-05
11,162.524,1.41756,2.60293,1.33834,0.45701,0.25697,0.19345,0.12788,1.44742,3.21076,1.51887,9.01e-05,9.01e-05,9.01e-05
12,177.248,1.39696,2.67913,1.37225,0.39185,0.31465,0.20441,0.13434,1.44572,3.15357,1.51119,8.911e-05,8.911e-05,8.911e-05
13,195.983,1.42502,2.56642,1.34684,0.38547,0.33744,0.20745,0.13576,1.45643,3.13271,1.51445,8.812e-05,8.812e-05,8.812e-05
14,214.378,1.42522,2.58127,1.40334,0.3888,0.33829,0.21907,0.13989,1.46131,3.09816,1.52271,8.713e-05,8.713e-05,8.713e-05
15,232.864,1.41619,2.48788,1.38495,0.29217,0.37052,0.22266,0.14334,1.47331,3.06351,1.52916,8.614e-05,8.614e-05,8.614e-05
16,256.285,1.50534,2.55853,1.41956,0.28597,0.38196,0.2247,0.14356,1.47747,3.04672,1.53187,8.515e-05,8.515e-05,8.515e-05
17,273.434,1.38719,2.42894,1.35235,0.28632,0.35726,0.23024,0.14743,1.49856,3.00839,1.54928,8.416e-05,8.416e-05,8.416e-05
18,290.836,1.3355,2.59697,1.3115,0.28471,0.33645,0.23206,0.14843,1.49627,2.97995,1.54332,8.317e-05,8.317e-05,8.317e-05
19,309.324,1.36435,2.42603,1.35,0.27978,0.34654,0.2373,0.14867,1.51532,2.93349,1.54333,8.218e-05,8.218e-05,8.218e-05
20,328.599,1.26755,2.62667,1.32965,0.28971,0.38832,0.25315,0.15632,1.51214,2.91791,1.53591,8.119e-05,8.119e-05,8.119e-05
21,346.344,1.48556,2.36373,1.39131,0.29186,0.38332,0.2611,0.16123,1.5087,2.89114,1.52612,8.02e-05,8.02e-05,8.02e-05
22,364.868,1.40314,2.28111,1.35366,0.29722,0.35187,0.27295,0.16979,1.51149,2.8587,1.52174,7.921e-05,7.921e-05,7.921e-05
23,384.584,1.35643,2.24812,1.3442,0.33958,0.3641,0.28783,0.18028,1.51548,2.84434,1.51705,7.822e-05,7.822e-05,7.822e-05
24,403.01,1.42444,2.29045,1.34164,0.33682,0.37243,0.27642,0.16968,1.51936,2.83058,1.52042,7.723e-05,7.723e-05,7.723e-05
25,419.733,1.38953,2.34645,1.33661,0.35028,0.37553,0.2853,0.18351,1.52185,2.83036,1.52594,7.624e-05,7.624e-05,7.624e-05
26,441.746,1.32532,2.53205,1.33935,0.37546,0.35536,0.29912,0.19516,1.52082,2.83166,1.52704,7.525e-05,7.525e-05,7.525e-05
27,460.281,1.37699,2.2022,1.34258,0.40597,0.3361,0.30212,0.19998,1.51323,2.80519,1.51859,7.426e-05,7.426e-05,7.426e-05
28,477.12,1.31199,2.42135,1.3256,0.4123,0.35218,0.30956,0.20482,1.50409,2.78708,1.51059,7.327e-05,7.327e-05,7.327e-05
29,494.09,1.42318,2.2643,1.37323,0.41418,0.34411,0.31384,0.20775,1.50379,2.7707,1.50969,7.228e-05,7.228e-05,7.228e-05
30,512.056,1.44656,2.44007,1.40517,0.4359,0.37338,0.31841,0.21189,1.49718,2.73707,1.50862,7.129e-05,7.129e-05,7.129e-05
31,530.612,1.30943,2.42043,1.31287,0.41795,0.42139,0.32028,0.21267,1.48445,2.74976,1.50843,7.03e-05,7.03e-05,7.03e-05
32,547.04,1.45005,2.17204,1.38005,0.42954,0.40631,0.3302,0.22272,1.48421,2.76612,1.51022,6.931e-05,6.931e-05,6.931e-05
33,577.113,1.26638,2.35047,1.32942,0.44166,0.41977,0.36694,0.24698,1.4837,2.76393,1.51054,6.832e-05,6.832e-05,6.832e-05
34,599.788,1.36076,2.30844,1.35852,0.45525,0.39775,0.38055,0.25865,1.48774,2.76459,1.51077,6.733e-05,6.733e-05,6.733e-05
35,619.231,1.36687,2.13629,1.32136,0.34394,0.41291,0.3864,0.26385,1.49109,2.75714,1.51962,6.634e-05,6.634e-05,6.634e-05
36,638.78,1.36619,2.13718,1.3097,0.30386,0.4293,0.40252,0.27339,1.49954,2.73893,1.51464,6.535e-05,6.535e-05,6.535e-05
